,Varsta,Ghr muc/HPF,Ghr muc/5HPF,Ghr,Ghrelin rank,Hp_rk,Inflam,HP,mono,neutro,Atrofie,Metaplazie,GRPI,GRPP,Scor perif,GRCI,GRCC,Scor centru,Scor total (Allred dublu)
Varsta,1.0,-0.11430040462002986,-0.055350393254158387,-0.055350393254158387,0.0488499527037955,0.054240207918532964,-0.04607172374652394,-0.03898822271509671,0.03792880195701479,-0.0013817105342920513,-0.07538218341660895,-0.13273632532765509,0.12979785729043078,0.032365891633285,0.08013569313551874,0.02993832600025671,0.06394699761726855,0.024676548350615966,0.05620340573317561
Ghr muc/HPF,-0.11430040462002986,1.0,0.9490468480480672,0.9490468480480672,-0.8964114489446087,-0.2424122835345031,0.26607832552975264,0.2136381477160054,-0.255159789236144,-0.011318001215523045,-0.1504601040546389,0.05178842980436306,-0.024281964280501018,0.02005737179383123,0.041350942111653854,0.06167710390710658,0.014459444654344407,0.0991992566097785,0.06929854050178606
Ghr muc/5HPF,-0.055350393254158387,0.9490468480480672,1.0,1.0,-0.9481589554747488,-0.2932935410013443,0.2765450473584539,0.2619456002787905,-0.27139916323178614,0.012303778311364498,-0.1875750452474725,-0.013660999217875839,-0.0333770842820953,-0.017963138693984748,0.023894370665259977,0.09872522208117293,-0.0719685755427161,0.0878578851090304,0.05427495282671198
Ghr,-0.055350393254158387,0.9490468480480672,1.0,1.0,-0.9481589554747488,-0.2932935410013443,0.2765450473584539,0.2619456002787905,-0.27139916323178614,0.012303778311364498,-0.1875750452474725,-0.013660999217875839,-0.0333770842820953,-0.017963138693984748,0.023894370665259977,0.09872522208117293,-0.0719685755427161,0.0878578851090304,0.05427495282671198
Ghrelin rank,0.0488499527037955,-0.8964114489446087,-0.9481589554747488,-0.9481589554747488,1.0,0.24936279807352865,-0.29118845233267815,-0.22143579052532458,0.28569171624718365,-0.0014402270525849302,0.21902498816801788,0.029380631872732575,-0.05863093614361821,-0.04525993568334668,-0.09514044961567789,-0.18140902235111728,0.036357383355656185,-0.1486045818218525,-0.12232965041108039
Hp_rk,0.054240207918532964,-0.2424122835345031,-0.2932935410013443,-0.2932935410013443,0.24936279807352865,1.0,0.10218686916802575,-0.952780420840476,-0.112047587074766,-0.3867398829085399,-0.19418056297728167,0.09929807804408455,-0.11614250904746803,-0.19270439452846883,-0.15696170711913612,-0.12822052529008585,-0.11824483674571476,-0.18697540890499198,-0.1746986402386553
Inflam,-0.04607172374652394,0.26607832552975264,0.2765450473584539,0.2765450473584539,-0.29118845233267815,0.10218686916802575,1.0,-0.10859412056669389,-0.9959029875103498,-0.16311031228403391,-0.6331204630890935,-0.15223629146509826,-0.10158025262386318,-0.11906033590189255,-0.056916909151858736,0.026357567674839037,0.0011671172767807013,0.025450081882331423,-0.019889762943453092
HP,-0.03898822271509671,0.2136381477160054,0.2619456002787905,0.2619456002787905,-0.22143579052532458,-0.952780420840476,-0.10859412056669389,1.0,0.11360675159374582,0.3354949197898659,0.18540576410717138,-0.12748806952014907,0.08379443712709247,0.1326424194655936,0.11650489312465333,0.13407308762720513,0.11940563099142684,0.18526087687503895,0.1513310904805693
mono,0.03792880195701479,-0.255159789236144,-0.27139916323178614,-0.27139916323178614,0.28569171624718365,-0.112047587074766,-0.9959029875103498,0.11360675159374582,1.0,0.15994402841780714,0.6266559012311337,0.15185894566262131,0.09488433220753387,0.10912738442683383,0.048917489602314214,-0.026673282461177308,-0.013243052103728442,-0.03440263858865648,0.011255063582443768
neutro,-0.0013817105342920513,-0.011318001215523045,0.012303778311364498,0.012303778311364498,-0.0014402270525849302,-0.3867398829085399,-0.16311031228403391,0.3354949197898659,0.15994402841780714,1.0,0.1502463526112522,-0.12982456140350862,-0.18113816610985617,0.010238902909801261,-0.15642466842881528,-0.08209098156039518,0.0161937687571242,-0.07580398858531093,-0.12258824117538845
Atrofie,-0.07538218341660895,-0.1504601040546389,-0.1875750452474725,-0.1875750452474725,0.21902498816801788,-0.19418056297728167,-0.6331204630890935,0.18540576410717138,0.6266559012311337,0.1502463526112522,1.0,0.3750423786961629,-0.010267351727228357,0.10723312679580674,0.04175298555914851,-0.058789635125221514,0.2555376130205623,0.12127148212954882,0.07979851708808475
Metaplazie,-0.13273632532765509,0.05178842980436306,-0.013660999217875839,-0.013660999217875839,0.029380631872732575,0.09929807804408455,-0.15223629146509826,-0.12748806952014907,0.15185894566262131,-0.12982456140350862,0.3750423786961629,1.0,0.0807358683232503,0.16240475230777152,0.15237155961122664,0.01996807659577181,0.37305924025133175,0.21012865635848205,0.18292850513145859
GRPI,0.12979785729043078,-0.024281964280501018,-0.0333770842820953,-0.0333770842820953,-0.05863093614361821,-0.11614250904746803,-0.10158025262386318,0.08379443712709247,0.09488433220753387,-0.18113816610985617,-0.010267351727228357,0.0807358683232503,1.0,0.8081612986483397,0.9421369477144067,0.7736205166825746,0.6691278694536467,0.8262724606315799,0.9106430082496311
GRPP,0.032365891633285,0.02005737179383123,-0.017963138693984748,-0.017963138693984748,-0.04525993568334668,-0.19270439452846883,-0.11906033590189255,0.1326424194655936,0.10912738442683383,0.010238902909801261,0.10723312679580674,0.16240475230777152,0.8081612986483397,1.0,0.9064678327729945,0.641054108778874,0.8004241445763364,0.8156252490281325,0.8857832119478816
Scor perif,0.08013569313551874,0.041350942111653854,0.023894370665259977,0.023894370665259977,-0.09514044961567789,-0.15696170711913612,-0.056916909151858736,0.11650489312465333,0.048917489602314214,-0.15642466842881528,0.04175298555914851,0.15237155961122664,0.9421369477144067,0.9064678327729945,1.0,0.753964788379594,0.779983331603361,0.907025363000656,0.9805558740714522
GRCI,0.02993832600025671,0.06167710390710658,0.09872522208117293,0.09872522208117293,-0.18140902235111728,-0.12822052529008585,0.026357567674839037,0.13407308762720513,-0.026673282461177308,-0.08209098156039518,-0.058789635125221514,0.01996807659577181,0.7736205166825746,0.641054108778874,0.753964788379594,1.0,0.6203819189250971,0.8472559646273514,0.815451957418551
GRCC,0.06394699761726855,0.014459444654344407,-0.0719685755427161,-0.0719685755427161,0.036357383355656185,-0.11824483674571476,0.0011671172767807013,0.11940563099142684,-0.013243052103728442,0.0161937687571242,0.2555376130205623,0.37305924025133175,0.6691278694536467,0.8004241445763364,0.779983331603361,0.6203819189250971,1.0,0.8783573214963752,0.8444608010650151
Scor centru,0.024676548350615966,0.0991992566097785,0.0878578851090304,0.0878578851090304,-0.1486045818218525,-0.18697540890499198,0.025450081882331423,0.18526087687503895,-0.03440263858865648,-0.07580398858531093,0.12127148212954882,0.21012865635848205,0.8262724606315799,0.8156252490281325,0.907025363000656,0.8472559646273514,0.8783573214963752,1.0,0.9720210434083232
Scor total (Allred dublu),0.05620340573317561,0.06929854050178606,0.05427495282671198,0.05427495282671198,-0.12232965041108039,-0.1746986402386553,-0.019889762943453092,0.1513310904805693,0.011255063582443768,-0.12258824117538845,0.07979851708808475,0.18292850513145859,0.9106430082496311,0.8857832119478816,0.9805558740714522,0.815451957418551,0.8444608010650151,0.9720210434083232,1.0
